Pos.,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,Dif.,Victorias,Empates,Derrotas,Goles_Favor,Goles_Contra,Partidos_Jugados,Racha
1.º,Independiente Rivadavia,38,18,11,5,2,31,16,15,11,5,2,31,16,18,"G,E,E,P,P"
2.º,Argentinos Juniors,38,19,11,5,3,24,15,9,11,5,3,24,15,19,"G,E,E,E,G"
3.º,Vélez Sarsfield,34,18,9,7,2,22,13,9,9,7,2,22,13,18,"P,G,P,G,E"
4.º,Estudiantes (LP),34,18,10,4,4,22,9,13,10,4,4,22,9,18,"E,G,E,E,P"
5.º,Boca Juniors,30,17,8,6,3,22,12,10,8,6,3,22,12,17,"G,P,P,G,E"
6.º,Independiente,30,18,8,6,4,27,20,7,8,6,4,27,20,18,"E,E,P,E,E"
7.º,River Plate,29,18,9,2,7,22,14,8,9,2,7,22,14,18,"G,G,G,G,G"
8.º,Belgrano [n. 1],29,18,8,5,5,19,15,4,8,5,5,19,15,18,"G,E,G,P,G"
9.º,Rosario Central,29,18,8,5,5,21,18,3,8,5,5,21,18,18,"P,P,E,P,E"
10.º,Gimnasia y Esgrima (LP),29,18,9,2,7,21,21,0,9,2,7,21,21,18,"G,P,P,E,P"
11.º,Lanús,27,17,7,6,4,19,15,4,7,6,4,19,15,17,"P,P,G,P,E"
12.º,Barracas Central,27,18,7,6,5,17,15,2,7,6,5,17,15,18,"P,G,G,E,G"
13.º,Talleres (C),26,17,7,5,5,18,17,1,7,5,5,18,17,17,"E,E,G,G,P"
14.º,Huracán,25,18,6,7,5,19,15,4,6,7,5,19,15,18,"G,P,P,G,P"
15.º,Racing Club,25,19,6,7,6,20,19,1,6,7,6,20,19,19,"E,P,P,E,E"
16.º,San Lorenzo,25,18,6,7,5,15,15,0,6,7,5,15,15,18,"G,E,G,G,G"
17.º,Gimnasia y Esgrima (M),25,19,7,4,8,17,23,−6,7,4,8,17,23,19,"E,E,G,G,E"
18.º,Instituto,24,18,7,3,8,19,19,0,7,3,8,19,19,18,"E,E,G,G,E"
19.º,Tigre,23,18,5,8,5,21,17,4,5,8,5,21,17,18,"P,G,P,E,G"
20.º,Defensa y Justicia,23,19,5,8,6,21,26,−5,5,8,6,21,26,19,"E,P,P,E,P"
21.º,Unión,22,18,5,7,6,26,24,2,5,7,6,26,24,18,"G,P,G,G,G"
22.º,Banfield,22,19,6,4,9,20,22,−2,6,4,9,20,22,19,"P,E,G,P,G"
23.º,Sarmiento (J),19,18,6,1,11,17,26,−9,6,1,11,17,26,18,"P,P,G,G,G"
24.º,Atlético Tucumán,18,18,4,6,8,17,20,−3,4,6,8,17,20,18,"G,P,P,E,E"
25.º,Newell's Old Boys,18,18,4,6,8,16,28,−12,4,6,8,16,28,18,"P,G,G,P,G"
26.º,Platense,17,18,3,8,7,13,19,−6,3,8,7,13,19,18,"P,P,G,E,P"
27.º,Central Córdoba (SdE),16,18,4,4,10,11,24,−13,4,4,10,11,24,18,"G,G,P,G,P"
28.º,Deportivo Riestra,14,18,2,8,8,9,14,−5,2,8,8,9,14,18,"G,G,G,E,P"
29.º,Aldosivi,9,18,0,9,9,7,21,−14,0,9,9,7,21,18,"G,P,E,P,E"
30.º,Estudiantes (RC),9,19,2,3,14,6,27,−21,2,3,14,6,27,19,"P,E,E,E,E"
