Pos.,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,Dif.,Victorias,Empates,Derrotas,Goles_Favor,Goles_Contra,Partidos_Jugados,Racha
1.º,Independiente Rivadavia,38,18,11,5,2,31,16,15,11,5,2,31,16,18,"E,P,G,E,E"
2.º,Argentinos Juniors,38,19,11,5,3,24,15,9,11,5,3,24,15,19,"G,P,G,P,E"
3.º,Vélez Sarsfield,34,18,9,7,2,22,13,9,9,7,2,22,13,18,"P,E,P,G,E"
4.º,Estudiantes (LP),34,18,10,4,4,22,9,13,10,4,4,22,9,18,"P,E,E,E,P"
5.º,Gimnasia y Esgrima (LP),32,19,10,2,7,23,22,1,10,2,7,23,22,19,"G,G,P,G,E"
6.º,Boca Juniors,30,17,8,6,3,22,12,10,8,6,3,22,12,17,"G,P,P,E,G"
7.º,Independiente,30,18,8,6,4,27,20,7,8,6,4,27,20,18,"G,G,G,E,G"
8.º,Barracas Central,30,19,8,6,5,18,15,3,8,6,5,18,15,19,"G,G,E,G,P"
9.º,River Plate,29,18,9,2,7,22,14,8,9,2,7,22,14,18,"G,E,G,G,G"
10.º,Belgrano [n. 1],29,18,8,5,5,19,15,4,8,5,5,19,15,18,"E,P,G,E,E"
11.º,Rosario Central,29,18,8,5,5,21,18,3,8,5,5,21,18,18,"G,G,G,P,E"
12.º,Lanús,27,17,7,6,4,19,15,4,7,6,4,19,15,17,"P,P,E,G,P"
13.º,Talleres (C),26,17,7,5,5,18,17,1,7,5,5,18,17,17,"P,G,G,P,E"
14.º,Huracán,25,18,6,7,5,19,15,4,6,7,5,19,15,18,"G,P,G,P,P"
15.º,Racing Club,25,19,6,7,6,20,19,1,6,7,6,20,19,19,"P,P,G,E,P"
16.º,San Lorenzo,25,18,6,7,5,15,15,0,6,7,5,15,15,18,"P,E,P,G,P"
17.º,Gimnasia y Esgrima (M),25,19,7,4,8,17,23,−6,7,4,8,17,23,19,"E,E,P,G,P"
18.º,Instituto,24,18,7,3,8,19,19,0,7,3,8,19,19,18,"G,P,P,G,E"
19.º,Tigre,23,18,5,8,5,21,17,4,5,8,5,21,17,18,"E,E,G,E,G"
20.º,Defensa y Justicia,23,19,5,8,6,21,26,−5,5,8,6,21,26,19,"P,G,G,E,G"
21.º,Unión,22,18,5,7,6,26,24,2,5,7,6,26,24,18,"P,G,E,P,G"
22.º,Banfield,22,19,6,4,9,20,22,−2,6,4,9,20,22,19,"G,E,E,P,P"
23.º,Sarmiento (J),19,18,6,1,11,17,26,−9,6,1,11,17,26,18,"E,E,E,G,P"
24.º,Atlético Tucumán,18,18,4,6,8,17,20,−3,4,6,8,17,20,18,"G,G,E,G,G"
25.º,Newell's Old Boys,18,18,4,6,8,16,28,−12,4,6,8,16,28,18,"G,E,P,P,G"
26.º,Platense,17,18,3,8,7,13,19,−6,3,8,7,13,19,18,"G,G,P,G,E"
27.º,Central Córdoba (SdE),16,18,4,4,10,11,24,−13,4,4,10,11,24,18,"G,E,E,G,E"
28.º,Deportivo Riestra,14,19,2,8,9,9,15,−6,2,8,9,9,15,19,"G,G,G,E,G"
29.º,Aldosivi,9,19,0,9,10,8,23,−15,0,9,10,8,23,19,"G,E,G,G,G"
30.º,Estudiantes (RC),9,19,2,3,14,6,27,−21,2,3,14,6,27,19,"P,G,G,E,E"
